Year,Nationality code,Sex,Age group,Immigrant count,Predictions_rnn_agg,Lower limit_agg,Upper limit_agg
2008,VEN,Males,65+,73,68,61,101
2008,VEN,Males,All,3788,3780,2868,4366
2008,VEN,Males,0 - 14,561,504,409,648
2008,VEN,Both,65+,238,253,199,321
2008,VEN,Both,55 - 64,423,439,298,476
2008,VEN,Both,45 - 54,737,801,518,817
2008,USA,Females,35 - 44,228,210,167,270
2008,USA,Females,45 - 54,131,134,107,175
2008,USA,Females,55 - 64,109,106,75,124
2008,USA,Females,65+,90,88,72,118
2008,USA,Females,All,1873,2056,1484,2290
2008,USA,Males,0 - 14,389,328,250,401
2008,USA,Males,15 - 24,381,468,352,560
2008,USA,Males,25 - 34,358,458,332,530
2008,USA,Males,35 - 44,285,228,173,280
2008,USA,Males,45 - 54,167,146,124,202
2008,USA,Males,55 - 64,118,108,80,132
2008,USA,Males,65+,115,80,75,123
2008,USA,Males,All,1816,1885,1486,2293
2008,VEN,Both,0 - 14,1168,1057,1031,1603
2008,VEN,Both,15 - 24,1796,2017,1333,2062
2008,VEN,Both,25 - 34,3074,3022,2345,3585
2008,VEN,Both,35 - 44,1257,1392,1041,1618
2008,UKR,Males,25 - 34,713,687,598,941
2008,UKR,Males,15 - 24,720,688,537,847
2008,UKR,Males,0 - 14,668,505,362,575
2008,UKR,Females,All,3879,4201,3794,5743
2008,RUS,Females,15 - 24,724,714,527,831
2008,RUS,Females,25 - 34,1076,1046,746,1168
2008,RUS,Females,35 - 44,582,676,505,798
2008,RUS,Females,45 - 54,511,496,365,581
2008,RUS,Females,55 - 64,238,237,210,339
2008,RUS,Females,65+,99,137,79,130
2008,RUS,Females,All,3790,4041,3096,4707
2008,RUS,Males,0 - 14,661,623,552,870
2008,RUS,Males,15 - 24,301,398,216,348
2008,RUS,Males,25 - 34,273,410,273,438
2008,RUS,Males,35 - 44,351,400,267,428
2008,RUS,Males,45 - 54,247,254,160,259
2008,RUS,Males,55 - 64,91,95,86,142
2008,RUS,Males,65+,36,40,30,51
2008,RUS,Males,All,1962,2063,1507,2325
2008,MAR,Females,55 - 64,514,561,482,762
2008,UKR,Both,0 - 14,1281,1043,896,1397
2008,UKR,Both,15 - 24,1626,1565,1379,2131
2008,UKR,Both,25 - 34,1632,1794,1342,2075
2008,UKR,Both,35 - 44,1131,1347,870,1357
2008,UKR,Both,45 - 54,805,800,740,1158
2008,UKR,Both,55 - 64,279,371,272,435
2008,UKR,Both,65+,110,127,100,165
2008,UKR,Females,0 - 14,611,519,511,806
2008,UKR,Females,15 - 24,907,912,890,1389
2008,UKR,Females,25 - 34,919,991,819,1280
2008,UKR,Females,35 - 44,633,661,559,881
2008,UKR,Females,45 - 54,528,549,432,684
2008,UKR,Females,55 - 64,199,298,174,281
2008,UKR,Females,65+,82,109,69,114
2008,UKR,Both,All,6863,7432,5949,8927
2008,MAR,Females,45 - 54,1376,1462,1046,1625
2008,RUS,Both,55 - 64,329,350,296,473
2008,MAR,Females,25 - 34,9527,9701,7817,11668
2008,CHN,Both,All,20080,19803,13928,20563
2008,CHN,Females,0 - 14,1853,1914,1857,2852
2008,CHN,Females,15 - 24,2482,3021,2450,3742
2008,CHN,Females,25 - 34,2715,2464,1776,2731
2008,CHN,Females,35 - 44,1963,1784,1345,2080
2008,CHN,Females,45 - 54,458,633,466,737
2008,CHN,Females,55 - 64,202,225,174,281
2008,CHN,Both,65+,255,235,173,280
2008,CHN,Females,65+,111,122,89,146
2008,CHN,Males,0 - 14,2213,2223,1741,2678
2008,CHN,Males,15 - 24,2536,2765,2219,3396
2008,CHN,Males,25 - 34,2691,2230,1796,2761
2008,CHN,Males,35 - 44,2074,1506,1221,1892
2008,CHN,Males,45 - 54,506,542,432,684
2008,CHN,Males,55 - 64,131,187,129,209
2008,CHN,Males,65+,144,92,72,119
2008,CHN,Females,All,9785,11753,7434,11107
2008,CHN,Males,All,10295,10440,7001,10472
2008,CHN,Both,55 - 64,333,399,363,578
2008,CHN,Both,35 - 44,4037,3161,2493,3806
2008,BGR,Females,35 - 44,920,824,698,1094
2008,BGR,Females,45 - 54,654,641,485,766
2008,BGR,Females,55 - 64,322,340,287,459
2008,BGR,Females,65+,115,137,122,199
2008,BGR,Females,All,5373,5516,4194,6337
2008,BGR,Males,0 - 14,927,850,684,1073
2008,BGR,Males,15 - 24,1158,1403,1065,1655
2008,CHN,Both,45 - 54,965,1152,1005,1564
2008,BGR,Males,25 - 34,1415,1457,1076,1671
2008,BGR,Males,45 - 54,683,593,472,746
2008,BGR,Males,55 - 64,206,236,186,300
2008,BGR,Males,65+,44,67,59,98
2008,BGR,Males,All,5394,5389,4704,7092
2008,CHN,Both,0 - 14,4067,4228,3433,5208
2008,CHN,Both,15 - 24,5018,5688,4497,6785
2008,CHN,Both,25 - 34,5405,4565,3502,5310
2008,BGR,Males,35 - 44,962,1073,791,1237
2008,COL,Both,0 - 14,6580,5923,4961,7471
2008,COL,Both,15 - 24,8693,8411,6430,9634
2008,COL,Both,25 - 34,10344,11118,7493,11193
2008,CUB,Both,0 - 14,890,1039,857,1337
2008,CUB,Both,15 - 24,1628,1615,1312,2029
2008,CUB,Both,25 - 34,2275,2114,1765,2714
2008,CUB,Both,35 - 44,2073,1954,1381,2133
2008,CUB,Both,45 - 54,978,1210,937,1460
2008,CUB,Both,55 - 64,660,666,471,745
2008,CUB,Both,65+,407,448,280,448
2008,COL,Males,All,17089,14711,9634,14322
2008,CUB,Both,All,8911,8398,6723,10064
2008,CUB,Females,15 - 24,997,952,671,1053
2008,CUB,Females,25 - 34,1194,1081,957,1490
2008,CUB,Females,35 - 44,1002,929,710,1113
2008,CUB,Females,45 - 54,534,630,515,813
2008,CUB,Females,55 - 64,408,367,270,432
2008,CUB,Females,65+,261,270,171,277
2008,CUB,Females,All,4817,4479,3654,5536
2008,CUB,Females,0 - 14,419,522,452,716
2008,COL,Males,65+,115,115,83,136
2008,COL,Males,55 - 64,244,246,206,332
2008,COL,Males,45 - 54,1173,955,739,1157
2008,COL,Both,35 - 44,6416,6036,4453,6720
2008,COL,Both,45 - 54,2832,2729,2005,3074
2008,COL,Both,55 - 64,760,721,700,1098
2008,COL,Both,65+,416,404,314,501
2008,COL,Both,All,36040,33984,23782,34768
2008,COL,Females,0 - 14,3198,2976,2972,4522
2008,COL,Females,15 - 24,4386,4355,3563,5400
2008,COL,Females,25 - 34,5471,5900,4281,6465
2008,COL,Females,35 - 44,3420,3180,2314,3537
2008,COL,Females,45 - 54,1660,1462,1196,1854
2008,COL,Females,55 - 64,515,481,488,771
2008,COL,Females,65+,301,309,251,402
2008,COL,Females,All,18951,20676,13020,19247
2008,COL,Males,0 - 14,3381,2733,2223,3402
2008,COL,Males,15 - 24,4307,3634,2595,3959
