Year,Nationality code,Sex,Age group,Immigrant count,Unemployment %,Political and Violence Percentile,Probability of dying young,Rule of Law Percentile,Salaried workers %,GDP_growth,Inflation_annual,Liberal democracy index,Continent,Sub-region,Health equality,Judicial accountability,One-sided violence_deaths,Non-state_deaths,Intrastate_deaths,Interstate_deaths,Number of residents,Political regime,Homicide Rate,Number of Turist,Spanish language,Restricciones_pandemia,Año post_pandemia
2008,ROU,Females,65+,367,5.79,50.48,3.9,53.85,67.42,9.31,16.02,0.491,Europe,European Union,0.69,0.62,0,0,0,0,338425,7,1.47,44400000,0,0,0
2008,ROU,Females,All,30387,5.79,50.48,3.9,53.85,67.42,9.31,16.02,0.491,Europe,European Union,0.69,0.62,0,0,0,0,338425,7,1.47,44400000,0,0,0
2008,ROU,Males,0 - 14,5206,5.79,50.48,3.9,53.85,67.42,9.31,16.02,0.491,Europe,European Union,0.69,0.62,0,0,0,0,393381,7,1.47,44400000,0,0,0
2008,ROU,Males,15 - 24,8990,5.79,50.48,3.9,53.85,67.42,9.31,16.02,0.491,Europe,European Union,0.69,0.62,0,0,0,0,393381,7,1.47,44400000,0,0,0
2008,ROU,Males,25 - 34,8664,5.79,50.48,3.9,53.85,67.42,9.31,16.02,0.491,Europe,European Union,0.69,0.62,0,0,0,0,393381,7,1.47,44400000,0,0,0
2008,ROU,Females,35 - 44,4299,5.79,50.48,3.9,53.85,67.42,9.31,16.02,0.491,Europe,European Union,0.69,0.62,0,0,0,0,338425,7,1.47,44400000,0,0,0
2008,ROU,Males,35 - 44,4769,5.79,50.48,3.9,53.85,67.42,9.31,16.02,0.491,Europe,European Union,0.69,0.62,0,0,0,0,393381,7,1.47,44400000,0,0,0
2008,ROU,Males,55 - 64,699,5.79,50.48,3.9,53.85,67.42,9.31,16.02,0.491,Europe,European Union,0.69,0.62,0,0,0,0,393381,7,1.47,44400000,0,0,0
2008,ROU,Males,65+,165,5.79,50.48,3.9,53.85,67.42,9.31,16.02,0.491,Europe,European Union,0.69,0.62,0,0,0,0,393381,7,1.47,44400000,0,0,0
2008,ROU,Males,All,30875,5.79,50.48,3.9,53.85,67.42,9.31,16.02,0.491,Europe,European Union,0.69,0.62,0,0,0,0,393381,7,1.47,44400000,0,0,0
