Year,Nationality code,Sex,Age group,Immigrant count,Prediction_rn_noagg,Lower limit_noagg,Upper limit_noagg
2008,DOM,Males,55 - 64,89,77,62,137
2008,DOM,Males,65+,25,34,18,46
2008,DOM,Females,65+,78,72,44,100
2008,DOM,Females,55 - 64,135,158,157,319
2008,DOM,Females,45 - 54,547,500,333,640
2008,CUB,Males,35 - 44,1071,736,473,887
2008,CUB,Males,45 - 54,444,492,331,637
2008,CUB,Males,55 - 64,250,151,143,294
2008,CUB,Males,65+,146,126,93,198
2008,DOM,Females,0 - 14,1620,1462,1034,1837
2008,DOM,Females,15 - 24,2213,2286,1555,2692
2008,DOM,Females,25 - 34,2899,2677,1771,3040
2008,DOM,Females,35 - 44,1662,1405,892,1600
2008,ECU,Females,0 - 14,5017,2719,1951,3329
2008,ECU,Females,15 - 24,4594,3206,2208,3740
2008,ECU,Females,35 - 44,1754,1830,1072,1899
2008,FRA,Females,0 - 14,524,532,478,895
2008,FRA,Females,15 - 24,1115,1165,922,1651
2008,FRA,Females,25 - 34,1275,1264,884,1587
2008,FRA,Females,35 - 44,485,495,510,950
2008,FRA,Females,45 - 54,281,408,268,523
2008,FRA,Females,55 - 64,346,443,291,565
2008,FRA,Females,65+,263,477,354,677
2008,FRA,Males,15 - 24,784,821,600,1106
2008,FRA,Males,25 - 34,1408,1336,735,1336
2008,FRA,Males,35 - 44,772,725,529,983
2008,FRA,Males,45 - 54,391,521,332,639
2008,FRA,Males,55 - 64,372,485,308,595
2008,FRA,Males,65+,288,361,270,527
2008,ECU,Females,25 - 34,3051,3782,2374,4004
2008,FRA,Males,0 - 14,588,563,416,786
2008,ECU,Females,55 - 64,287,266,232,458
2008,ECU,Females,65+,89,89,84,179
2008,ECU,Males,0 - 14,5258,3010,1671,2879
2008,ECU,Males,15 - 24,5467,3231,2078,3532
2008,ECU,Males,25 - 34,3342,2938,1874,3206
2008,ECU,Males,35 - 44,1800,1499,860,1546
2008,ECU,Females,45 - 54,839,805,536,996
2008,ECU,Males,55 - 64,191,134,115,241
2008,ECU,Males,65+,54,53,39,89
2008,ECU,Males,45 - 54,723,628,371,708
2009,PER,Males,35 - 44,963,991,645,1182
2009,PER,Males,45 - 54,360,460,293,568
2009,PER,Males,55 - 64,128,127,90,191
2009,PER,Males,65+,169,106,76,165
2009,PRT,Females,25 - 34,844,831,643,1180
2009,PRT,Females,0 - 14,409,384,279,544
2009,PRT,Females,15 - 24,715,667,463,869
2009,PER,Males,25 - 34,1666,1718,1306,2285
2009,PER,Males,15 - 24,1132,1227,902,1616
2009,PER,Females,0 - 14,1389,1237,1101,1948
2009,PRT,Females,35 - 44,425,491,393,747
2009,PER,Males,0 - 14,1441,1254,1025,1822
2009,PER,Females,15 - 24,1477,1439,1301,2276
2009,PER,Females,25 - 34,2496,2101,1965,3352
2009,PER,Females,35 - 44,1334,1123,1107,1959
2009,PER,Females,45 - 54,594,638,519,966
2009,PER,Females,55 - 64,272,239,177,356
2009,PER,Females,65+,243,210,135,278
2009,PRT,Females,45 - 54,281,251,200,400
2009,MAR,Females,55 - 64,505,473,409,775
2009,PRT,Females,65+,134,105,80,173
2009,ROU,Females,45 - 54,2267,2484,1480,2569
2009,ROU,Females,55 - 64,1139,1062,690,1259
2009,ROU,Females,65+,375,367,230,455
2009,ROU,Males,0 - 14,3185,3983,2809,4690
2009,ROU,Males,15 - 24,6466,5956,4260,6945
2009,ROU,Males,25 - 34,5300,5547,4407,7172
2009,ROU,Females,35 - 44,3471,3780,2525,4243
2009,ROU,Males,35 - 44,2985,3551,2855,4762
2009,ROU,Males,55 - 64,629,655,385,733
2009,ROU,Males,65+,174,170,114,237
2009,ROU,Males,45 - 54,1515,1795,1135,2003
2009,ROU,Females,25 - 34,4916,6221,4595,7461
2009,ROU,Females,15 - 24,8434,8271,5044,8147
2009,ROU,Females,0 - 14,3220,3816,2380,4013
2009,PRT,Males,0 - 14,433,561,396,752
2009,PRT,Males,15 - 24,742,699,533,990
2009,PRT,Males,25 - 34,1533,1223,936,1673
2009,PRT,Males,35 - 44,1196,1039,699,1275
2009,PRT,Males,45 - 54,691,495,316,609
2009,PRT,Males,55 - 64,253,218,140,289
2009,PRT,Males,65+,113,95,74,161
2009,PRT,Females,55 - 64,116,139,99,210
2009,PRY,Males,65+,8,12,6,17
2009,MAR,Females,65+,411,368,256,502
2009,PRY,Males,45 - 54,137,144,90,191
2009,NIC,Females,35 - 44,449,458,324,624
2009,NIC,Females,45 - 54,162,193,78,167
2009,NIC,Females,55 - 64,24,36,22,52
2009,NIC,Females,65+,4,5,3,10
2009,NIC,Males,0 - 14,80,105,67,147
2009,NIC,Males,15 - 24,118,170,117,245
2009,NIC,Females,25 - 34,756,878,766,1389
2009,NIC,Males,25 - 34,180,221,199,397
2009,NIC,Males,45 - 54,22,33,15,37
2009,NIC,Males,55 - 64,3,4,3,8
2009,NIC,Males,65+,2,1,1,2
2009,NIC,Males,35 - 44,74,90,70,153
2009,NIC,Females,15 - 24,390,480,391,743
2009,NIC,Females,0 - 14,88,129,68,148
2009,MAR,Males,0 - 14,4751,3855,2627,4404
2009,MAR,Males,15 - 24,5410,5200,3863,6334
2009,MAR,Males,25 - 34,6806,6681,4878,7894
2009,MAR,Males,35 - 44,2960,3011,2108,3580
2009,MAR,Males,45 - 54,870,1014,783,1418
2009,MAR,Males,55 - 64,332,377,318,613
2009,MAR,Males,65+,292,264,200,400
2009,PRY,Males,55 - 64,25,36,26,63
2009,PRY,Females,0 - 14,585,912,600,1106
2009,PRY,Females,15 - 24,2699,2140,1338,2337
2009,PRY,Females,25 - 34,2687,2194,1595,2757
2009,PRY,Females,35 - 44,1024,934,761,1380
2009,PRY,Females,55 - 64,178,197,139,287
2009,PRY,Females,65+,43,42,33,76
2009,PRY,Males,0 - 14,510,739,460,864
2009,PRY,Males,15 - 24,797,1228,737,1340
2009,PRY,Males,25 - 34,1180,1072,659,1207
2009,PRY,Males,35 - 44,384,355,217,430
2009,PRY,Females,45 - 54,509,512,368,703
2009,PAK,Females,0 - 14,399,351,184,370
2009,PAK,Females,15 - 24,258,453,277,540
2009,PAK,Females,25 - 34,286,510,473,886
2009,PAK,Females,35 - 44,221,194,187,376
2009,PAK,Females,45 - 54,85,83,56,125
2009,PAK,Females,55 - 64,13,14,12,30
2009,PAK,Females,65+,6,8,3,10
2009,PAK,Males,0 - 14,614,785,776,1405
2009,PAK,Males,15 - 24,1472,1801,1113,1967
2009,PAK,Males,25 - 34,1927,2426,1951,3330
2009,PAK,Males,35 - 44,870,989,836,1506
2009,PAK,Males,45 - 54,237,276,190,381
2009,PAK,Males,55 - 64,29,44,28,66
2009,PAK,Males,65+,4,7,4,12
2009,UKR,Females,65+,72,87,49,110
2009,RUS,Females,0 - 14,532,661,497,929
2009,GBR,Males,0 - 14,986,786,604,1113
2009,GBR,Males,15 - 24,461,612,458,859
2009,GBR,Males,25 - 34,1110,1221,947,1692
2009,GBR,Males,35 - 44,1395,1126,896,1606
2009,GBR,Males,45 - 54,1510,1532,1169,2061
2009,GBR,Males,55 - 64,2301,2104,1560,2700
2009,GBR,Females,65+,1013,1042,784,1419
2009,GBR,Males,65+,1549,1553,1000,1780
2009,GBR,Females,55 - 64,2222,1740,1572,2719
2009,GBR,Females,35 - 44,1232,1045,756,1372
2009,UKR,Males,35 - 44,260,271,202,403
2009,UKR,Males,45 - 54,177,176,115,241
2009,UKR,Males,55 - 64,56,96,57,126
2009,UKR,Males,65+,28,35,16,39
2009,GBR,Females,45 - 54,1363,1331,1042,1850
2009,GBR,Females,0 - 14,1004,784,547,1015
2009,GBR,Females,15 - 24,666,887,521,971
2009,GBR,Females,25 - 34,1124,1328,955,1706
2009,USA,Females,0 - 14,315,334,226,448
2009,USA,Females,15 - 24,492,772,482,902
2009,USA,Females,25 - 34,454,552,438,825
2009,VEN,Females,0 - 14,379,345,377,718
2009,VEN,Females,15 - 24,591,711,479,897
2009,VEN,Females,25 - 34,1131,1188,850,1529
2009,VEN,Females,35 - 44,491,560,413,782
2009,VEN,Females,45 - 54,335,348,248,487
2009,VEN,Females,55 - 64,284,306,188,377
2009,VEN,Females,65+,152,161,125,260
2009,VEN,Males,15 - 24,497,539,320,616
2009,VEN,Males,25 - 34,856,948,578,1068
2009,VEN,Males,35 - 44,333,356,268,523
2009,VEN,Males,45 - 54,155,164,117,244
2009,VEN,Males,55 - 64,107,108,70,154
2009,VEN,Males,65+,60,76,53,118
2009,VEN,Males,0 - 14,362,390,350,670
2009,USA,Females,35 - 44,219,248,163,331
2009,USA,Females,45 - 54,114,161,96,204
2009,USA,Females,55 - 64,97,97,73,159
2009,USA,Females,65+,79,65,56,124
2009,USA,Males,0 - 14,320,386,227,449
2009,USA,Males,15 - 24,359,436,381,725
2009,USA,Males,25 - 34,342,502,347,664
2009,USA,Males,35 - 44,268,253,139,286
2009,USA,Males,45 - 54,187,161,79,171
2009,USA,Males,55 - 64,123,96,74,160
2009,USA,Males,65+,117,72,67,146
2009,UKR,Males,25 - 34,441,544,334,643
2009,UKR,Males,15 - 24,413,501,294,571
2009,RUS,Females,15 - 24,621,590,486,910
2009,RUS,Females,25 - 34,929,993,710,1293
2009,RUS,Females,35 - 44,563,751,466,874
2009,RUS,Females,45 - 54,450,554,312,603
2009,RUS,Females,55 - 64,233,349,208,415
2009,RUS,Females,65+,105,132,120,250
2009,RUS,Males,0 - 14,620,654,462,867
2009,RUS,Males,25 - 34,240,358,250,491
2009,RUS,Males,35 - 44,326,431,288,559
2009,RUS,Males,45 - 54,278,298,223,442
2009,RUS,Males,55 - 64,119,180,91,194
2009,RUS,Males,65+,44,59,31,74
2009,RUS,Males,15 - 24,225,267,169,342
