Year,Nationality code,Sex,Age group,Immigrant count
2008,ARG,Males,35 - 44,958
2008,ARG,Males,45 - 54,460
2008,ARG,Males,55 - 64,276
2008,ARG,Males,65+,169
2008,ARG,Males,All,6599
2008,BRA,Both,0 - 14,3224
2008,BRA,Both,15 - 24,5551
2008,BRA,Both,25 - 34,7464
2008,BRA,Both,35 - 44,2750
2008,BRA,Both,45 - 54,1067
2008,BRA,Both,55 - 64,320
2008,BRA,Both,65+,111
2008,BRA,Both,All,20489
2008,BRA,Females,0 - 14,1578
2008,BRA,Females,15 - 24,3243
2008,BRA,Females,25 - 34,4583
2008,ARG,Males,0 - 14,1062
2008,CUB,Males,15 - 24,632
2008,DZA,Both,15 - 24,1166
2008,HND,Males,15 - 24,386
2008,HND,Both,15 - 24,1224
2008,HND,Both,25 - 34,1772
2008,HND,Both,35 - 44,730
2008,HND,Both,45 - 54,299
2008,HND,Both,55 - 64,68
2008,HND,Both,65+,23
2008,HND,Both,All,4551
2008,HND,Both,0 - 14,434
2008,HND,Females,0 - 14,223
2008,HND,Females,25 - 34,1282
2008,HND,Females,35 - 44,512
2008,HND,Females,45 - 54,241
2008,HND,Females,55 - 64,55
2008,HND,Females,65+,19
2008,HND,Females,All,3172
2008,HND,Males,0 - 14,211
2008,HND,Females,15 - 24,838
2008,CUB,Males,25 - 34,1081
2008,DEU,Males,All,5549
2008,DEU,Males,55 - 64,745
2008,DEU,Both,45 - 54,1474
2008,DEU,Both,55 - 64,1461
2008,DEU,Both,65+,1584
2008,DEU,Both,All,11282
2008,DEU,Females,0 - 14,583
2008,DEU,Females,15 - 24,939
2008,DEU,Females,25 - 34,1336
2008,DEU,Males,65+,870
2008,DEU,Females,35 - 44,792
2008,DEU,Females,55 - 64,718
2008,DEU,Females,65+,713
2008,DEU,Females,All,5733
2008,DEU,Males,0 - 14,506
2008,DEU,Males,15 - 24,452
2008,DEU,Males,25 - 34,1119
2008,DEU,Males,35 - 44,1034
2008,DEU,Females,45 - 54,653
2008,HND,Males,25 - 34,490
2008,HND,Males,35 - 44,217
2008,HND,Males,45 - 54,58
2008,ITA,Males,25 - 34,3822
