Nationality code,Year,One-sided violence_deaths,Non-state_deaths,Intrastate_deaths,Interstate_deaths
PRT,2009,0,0,0,0
PRT,2010,0,0,0,0
PRT,2011,0,0,0,0
PRT,2012,0,0,0,0
PRT,2013,0,0,0,0
PRT,2014,0,0,0,0
PRT,2015,0,0,0,0
PRT,2016,0,0,0,0
PRT,2017,0,0,0,0
PRT,2018,0,0,0,0
PRT,2019,0,0,0,0
PRT,2020,0,0,0,0
PRT,2021,0,0,0,0
PRT,2022,0,0,0,0
ROU,2008,0,0,0,0
ROU,2009,0,0,0,0
ROU,2010,0,0,0,0
ROU,2011,0,0,0,0
ROU,2012,0,0,0,0
ROU,2013,0,0,0,0
ROU,2014,0,0,0,0
ROU,2015,0,0,0,0
ROU,2016,0,0,0,0
ROU,2017,0,0,0,0
ROU,2018,0,0,0,0
ROU,2019,0,0,0,0
ROU,2020,0,0,0,0
ROU,2021,0,0,0,0
ROU,2022,0,0,0,0
RUS,2008,0,0,404,0
RUS,2009,0,0,696,0
RUS,2010,58,0,418,0
RUS,2011,40,0,356,0
RUS,2012,0,0,516,0
RUS,2013,40,0,321,0
RUS,2014,0,0,182,0
RUS,2015,2,0,84,0
RUS,2016,1,0,69,0
RUS,2017,0,0,53,0
RUS,2018,6,0,30,0
RUS,2019,0,0,26,0
RUS,2020,0,0,32,0
RUS,2021,0,0,0,0
RUS,2022,0,0,0,70
SEN,2008,0,0,0,0
SEN,2009,0,0,0,0
SEN,2010,0,0,0,0
SEN,2011,0,0,25,0
SEN,2012,0,0,0,0
SEN,2013,0,0,0,0
SEN,2014,0,0,0,0
SEN,2015,0,0,0,0
SEN,2016,0,0,0,0
SEN,2017,0,0,0,0
SEN,2018,0,0,0,0
SEN,2019,0,0,0,0
SEN,2020,0,0,0,0
SEN,2021,0,0,0,0
SEN,2022,0,0,0,0
ESP,2008,0,0,0,0
ESP,2009,0,0,0,0
ESP,2010,0,0,0,0
ESP,2011,0,0,0,0
ESP,2012,0,0,0,0
ESP,2013,0,0,0,0
ESP,2014,0,0,0,0
ESP,2015,0,0,0,0
ESP,2016,0,0,0,0
ESP,2017,16,0,0,0
ESP,2018,0,0,0,0
ESP,2019,0,0,0,0
ESP,2020,0,0,0,0
ESP,2021,0,0,0,0
ESP,2022,0,0,0,0
UKR,2008,0,0,0,0
UKR,2009,0,0,0,0
UKR,2010,0,0,0,0
UKR,2011,0,0,0,0
UKR,2012,0,0,0,0
UKR,2013,0,0,0,0
UKR,2014,0,45,4878,0
UKR,2015,0,0,1786,0
UKR,2016,0,0,254,0
UKR,2017,0,0,415,0
UKR,2018,0,0,243,0
UKR,2019,0,0,311,0
UKR,2020,0,0,196,0
UKR,2021,0,0,208,0
UKR,2022,1112,0,29,81447
GBR,2008,0,0,0,0
GBR,2009,0,0,0,0
GBR,2010,0,0,0,0
GBR,2011,0,0,0,0
GBR,2012,0,0,0,0
GBR,2013,0,0,0,0
GBR,2014,0,0,0,0
GBR,2015,0,0,0,0
GBR,2016,0,0,0,0
GBR,2017,0,0,0,0
GBR,2018,0,0,0,0
GBR,2019,2,0,1,0
GBR,2020,0,0,0,0
