Country code,Year,Absence of Corruption,Civil Liberties,Educational equality,Health equality,Judicial accountability,Public sector corrupt exchanges
ROU,2021,0.58,0.74,0.56,0.41,0.71,0.52
ROU,2022,0.58,0.72,0.56,0.41,0.58,0.54
RUS,2008,0.34,0.47,0.62,0.65,0.5,0.3
RUS,2009,0.34,0.46,0.62,0.65,0.5,0.3
RUS,2010,0.34,0.46,0.62,0.64,0.5,0.3
RUS,2011,0.34,0.46,0.62,0.64,0.5,0.3
RUS,2012,0.34,0.44,0.62,0.65,0.51,0.3
RUS,2013,0.36,0.43,0.62,0.65,0.52,0.33
RUS,2014,0.36,0.4,0.62,0.65,0.52,0.33
RUS,2015,0.36,0.39,0.62,0.65,0.52,0.33
RUS,2016,0.36,0.39,0.63,0.65,0.51,0.33
RUS,2017,0.36,0.39,0.63,0.65,0.53,0.33
RUS,2018,0.36,0.39,0.63,0.65,0.52,0.33
RUS,2019,0.36,0.38,0.63,0.61,0.52,0.33
RUS,2020,0.36,0.37,0.63,0.64,0.52,0.33
RUS,2021,0.36,0.36,0.58,0.58,0.54,0.33
RUS,2022,0.32,0.31,0.51,0.56,0.55,0.33
SEN,2008,0.53,0.68,0.49,0.47,0.57,0.35
SEN,2009,0.53,0.68,0.49,0.47,0.57,0.35
SEN,2010,0.52,0.69,0.49,0.47,0.57,0.35
SEN,2011,0.52,0.69,0.49,0.47,0.57,0.35
SEN,2012,0.52,0.7,0.49,0.47,0.61,0.36
SEN,2013,0.6,0.74,0.49,0.51,0.66,0.52
SEN,2014,0.61,0.73,0.49,0.51,0.66,0.52
SEN,2015,0.56,0.73,0.49,0.51,0.66,0.43
SEN,2016,0.55,0.73,0.49,0.51,0.66,0.43
SEN,2017,0.52,0.72,0.49,0.52,0.67,0.39
SEN,2018,0.52,0.7,0.49,0.52,0.67,0.39
SEN,2019,0.54,0.7,0.49,0.5,0.7,0.45
SEN,2020,0.53,0.7,0.49,0.5,0.61,0.47
SEN,2021,0.54,0.68,0.48,0.51,0.58,0.47
SEN,2022,0.53,0.67,0.5,0.51,0.58,0.47
UKR,2008,0.34,0.69,0.71,0.71,0.32,0.25
UKR,2009,0.3,0.69,0.71,0.71,0.32,0.23
UKR,2010,0.29,0.64,0.71,0.68,0.32,0.25
UKR,2011,0.29,0.64,0.71,0.68,0.32,0.25
UKR,2012,0.29,0.63,0.71,0.7,0.32,0.25
UKR,2013,0.29,0.62,0.73,0.7,0.3,0.28
UKR,2014,0.34,0.6,0.69,0.68,0.48,0.33
UKR,2015,0.37,0.6,0.67,0.68,0.57,0.33
UKR,2016,0.39,0.62,0.65,0.68,0.57,0.35
UKR,2017,0.39,0.63,0.62,0.67,0.57,0.36
UKR,2018,0.4,0.6,0.61,0.58,0.55,0.36
UKR,2019,0.45,0.61,0.64,0.56,0.5,0.38
UKR,2020,0.43,0.61,0.65,0.58,0.46,0.35
UKR,2021,0.43,0.61,0.7,0.58,0.51,0.35
UKR,2022,0.47,0.54,0.65,0.59,0.5,0.42
USA,2008,0.79,0.89,0.63,0.54,0.85,0.69
USA,2009,0.8,0.89,0.63,0.54,0.85,0.69
USA,2010,0.8,0.89,0.62,0.56,0.85,0.69
USA,2011,0.8,0.88,0.62,0.56,0.85,0.69
USA,2012,0.79,0.89,0.62,0.57,0.85,0.71
USA,2013,0.82,0.89,0.62,0.57,0.86,0.71
USA,2014,0.82,0.89,0.62,0.57,0.86,0.71
USA,2015,0.82,0.88,0.62,0.58,0.86,0.71
USA,2016,0.79,0.86,0.6,0.55,0.86,0.71
USA,2017,0.68,0.8,0.61,0.55,0.86,0.71
USA,2018,0.69,0.84,0.6,0.54,0.86,0.71
USA,2019,0.7,0.8,0.59,0.53,0.86,0.71
USA,2020,0.71,0.76,0.58,0.49,0.77,0.71
USA,2021,0.71,0.8,0.58,0.52,0.77,0.71
USA,2022,0.74,0.82,0.61,0.51,0.77,0.71
VEN,2008,0.19,0.51,0.33,0.57,0.11,0.14
VEN,2009,0.16,0.51,0.33,0.57,0.11,0.14
VEN,2010,0.06,0.53,0.33,0.56,0.11,0.12
VEN,2011,0.06,0.53,0.33,0.53,0.11,0.1
VEN,2012,0.06,0.51,0.33,0.5,0.11,0.1
VEN,2013,0.06,0.48,0.38,0.42,0.11,0.05
VEN,2014,0.08,0.45,0.37,0.34,0.11,0.05
VEN,2015,0.08,0.43,0.37,0.29,0.11,0.02
VEN,2016,0.06,0.43,0.37,0.25,0.11,0.0
VEN,2017,0.06,0.4,0.27,0.21,0.11,0.0
VEN,2018,0.06,0.39,0.23,0.18,0.01,0.0
VEN,2019,0.06,0.37,0.18,0.18,0.01,0.0
VEN,2020,0.0,0.37,0.13,0.18,0.12,0.0
VEN,2021,0.0,0.37,0.17,0.18,0.07,0.0
VEN,2022,0.0,0.37,0.13,0.05,0.07,0.0
