Year,Nationality code,Unemployment %,Political and Violence Percentile,Probability of dying young,Regulatory Quality Percentile,Rule of Law Percentile,Voice and Accountability Percentile,Salaried workers %,GDP_growth,Inflation_annual
2011,ROU,7.18,53.55,3.9,73.93,57.75,58.69,66.81,4.52,3.98
2011,RUS,6.54,17.06,7.9,41.23,26.76,24.41,92.96,4.3,24.46
2011,SEN,10.36,37.91,7.6,43.6,40.38,40.38,29.9,1.33,3.86
2011,ESP,21.39,48.34,1.5,81.04,85.45,83.1,83.6,-0.81,-0.02
2011,UKR,7.85,43.6,5.4,32.23,23.0,44.6,80.73,5.45,14.18
2011,GBR,8.04,58.77,1.9,95.26,92.49,92.02,85.79,1.15,2.19
2011,USA,8.95,64.45,4.2,91.94,91.08,86.38,93.18,1.55,2.08
2011,VEN,6.9,15.64,14.6,7.11,1.41,20.66,63.49,4.18,28.15
2012,DZA,10.97,9.48,3.5,9.0,24.88,22.54,68.01,3.4,7.46
2012,ARG,7.22,49.29,5.2,21.8,32.39,57.28,77.0,-1.03,22.31
2012,BRA,7.25,46.45,8.0,56.87,52.58,62.91,70.72,1.92,7.94
2012,BGR,12.27,58.77,3.3,69.19,51.64,61.5,88.41,0.75,1.11
2012,CHN,4.58,27.96,2.7,42.65,35.68,4.69,49.56,7.86,2.33
2012,COL,9.96,8.06,7.6,61.61,45.54,46.01,46.53,3.91,3.62
2012,CUB,3.46,57.35,2.7,4.27,29.58,6.57,79.49,3.01,2.91
2012,DOM,6.72,54.98,9.1,51.18,29.11,55.4,54.11,2.72,5.1
2012,ECU,3.23,27.49,6.5,20.38,14.55,38.5,53.43,5.64,4.99
2012,FRA,9.84,63.51,2.2,83.41,89.67,89.67,88.52,0.31,1.16
2012,DEU,5.38,71.09,1.7,91.94,92.02,93.43,88.43,0.42,1.5
2012,HND,3.75,36.49,7.1,46.45,9.86,33.33,43.11,4.13,3.58
2012,ITA,10.65,63.03,1.8,74.41,64.32,74.65,75.09,-2.98,1.55
2012,MAR,8.99,32.7,3.4,49.76,46.48,29.11,46.29,3.06,0.53
2012,NIC,5.21,36.97,6.9,41.71,28.17,30.52,52.25,6.5,6.24
2012,PAK,3.67,0.95,6.4,26.07,21.13,24.88,38.36,3.03,9.92
2012,PRY,4.09,19.91,7.3,44.08,25.35,44.6,52.21,-0.71,4.8
2012,PER,3.24,19.43,4.7,65.4,34.27,54.46,46.57,6.14,1.2
2012,PRT,15.53,70.62,2.0,75.36,82.63,81.22,77.93,-4.06,-0.39
2012,ROU,6.79,48.82,3.6,68.72,57.75,57.75,66.64,1.92,3.8
2012,RUS,5.44,20.85,7.5,40.28,22.54,19.25,93.13,4.02,8.91
2012,SEN,9.47,40.76,7.3,50.24,46.95,49.3,30.79,4.0,3.27
2012,ESP,24.79,42.65,1.4,78.2,83.1,82.16,82.69,-2.96,-0.11
2012,UKR,7.53,41.71,5.2,31.28,24.41,40.38,81.23,0.15,7.98
2012,GBR,7.88,59.72,1.8,94.79,94.84,92.49,85.32,1.51,1.54
2012,USA,8.07,66.35,4.2,87.68,91.55,87.79,93.25,2.28,1.87
2012,VEN,6.6,17.54,14.7,6.64,0.47,22.07,64.78,5.63,14.06
2013,DZA,9.82,12.8,3.5,12.32,30.99,23.94,68.97,2.8,-0.09
2013,ARG,7.1,48.34,5.1,19.91,32.39,56.81,76.45,2.41,23.95
2013,BRA,7.07,36.97,8.0,56.4,52.58,60.56,70.53,3.0,7.5
2013,BGR,12.94,53.08,3.2,67.77,50.7,58.22,87.86,-0.54,0.07
2013,CHN,4.6,26.54,2.7,41.23,37.56,4.69,50.23,7.77,2.16
2013,COL,9.25,10.43,7.3,63.03,42.72,45.54,47.46,5.13,1.91
2013,CUB,3.29,60.19,2.7,3.32,30.52,6.57,78.37,2.75,2.66
2013,DOM,7.35,54.98,9.0,53.08,36.15,53.99,55.19,4.88,4.69
2013,ECU,3.08,39.34,6.1,23.22,21.13,40.38,54.77,4.95,3.1
2013,FRA,9.91,62.09,2.1,85.31,89.2,89.67,88.73,0.58,0.78
2013,DEU,5.23,76.3,1.7,92.42,92.02,93.43,88.8,0.44,1.96
2013,HND,5.65,31.75,6.9,45.5,11.27,31.46,44.49,2.79,1.37
2013,ITA,12.15,63.98,1.7,74.88,63.85,76.06,75.18,-1.84,1.15
2013,MAR,9.23,28.91,3.3,48.82,44.6,27.23,46.19,4.12,1.26
2013,NIC,5.28,37.91,6.7,42.65,31.46,33.8,53.13,4.93,4.35
2013,PAK,2.95,0.95,6.3,26.07,22.07,25.35,39.75,4.37,7.38
2013,PRY,4.38,22.75,7.2,45.02,25.82,44.6,55.42,8.29,4.34
2013,PER,3.57,20.38,4.6,64.93,34.27,52.11,47.5,5.85,1.06
2013,PRT,16.19,68.72,1.9,75.36,83.1,82.63,78.09,-0.92,2.25
2013,ROU,7.1,54.03,3.3,71.56,58.69,57.75,67.18,0.27,1.39
2013,RUS,5.46,22.27,7.2,39.34,23.0,18.78,92.76,1.76,5.32
2013,SEN,8.76,43.6,6.9,51.18,47.89,51.64,31.66,2.41,1.19
2013,ESP,26.09,46.92,1.3,79.15,82.16,78.4,82.13,-1.4,0.4
2013,UKR,7.17,20.85,5.0,30.33,22.54,37.56,80.88,0.05,4.31
2013,GBR,7.52,63.03,1.8,96.21,93.9,92.49,85.35,1.79,2.12
2013,USA,7.37,66.82,4.2,86.73,90.61,84.04,93.41,1.84,1.75
2013,VEN,7.54,16.59,15.0,4.74,0.94,22.07,64.88,1.34,35.5
2014,DZA,10.21,9.52,3.5,8.17,22.6,25.12,69.06,3.8,-0.3
2014,ARG,7.27,45.71,5.1,14.42,19.71,59.11,76.35,-2.51,40.28
2014,BRA,6.76,42.86,8.1,50.96,57.69,62.07,70.64,0.5,7.85
2014,BGR,11.42,49.52,3.2,70.19,54.33,59.61,87.51,0.95,1.34
2014,CHN,4.63,28.57,2.7,41.35,40.38,5.42,50.82,7.43,1.03
2014,COL,8.8,10.95,7.1,66.83,45.67,47.78,48.3,4.5,2.24
2014,CUB,2.7,63.33,2.7,7.69,29.81,6.4,76.91,1.05,3.46
2014,DOM,6.72,50.95,8.9,53.37,41.35,54.19,55.17,7.05,4.32
2014,ECU,3.48,45.24,5.8,17.79,14.42,39.9,57.06,3.79,3.03
2014,FRA,10.27,58.1,2.0,81.73,88.46,89.66,88.39,0.96,0.58
2014,DEU,4.98,78.1,1.6,94.23,93.75,96.06,89.05,2.21,1.88
2014,HND,7.08,28.1,6.8,37.5,16.35,33.99,49.67,3.06,6.85
2014,ITA,12.68,60.48,1.6,71.15,67.79,77.83,75.32,-0.0,0.91
2014,MAR,9.7,29.52,3.3,51.44,52.4,27.59,46.3,2.72,0.22
2014,NIC,4.52,43.33,6.6,37.02,27.4,34.48,53.99,4.79,8.39
2014,PAK,1.83,3.33,6.3,27.88,25.96,27.09,39.76,4.12,7.21
2014,PRY,5.03,42.38,7.1,48.08,32.69,45.32,56.3,5.3,2.86
2014,PER,3.21,27.14,4.5,67.31,34.13,54.68,47.38,2.38,2.43
2014,PRT,13.9,74.29,1.8,74.04,84.13,82.76,80.28,0.79,0.7
2014,ROU,6.8,48.57,3.1,70.67,64.9,60.59,67.92,4.12,1.71
2014,RUS,5.16,14.76,6.7,37.98,25.0,20.69,92.82,0.74,7.49
2014,SEN,7.65,37.14,6.6,44.71,55.29,58.13,32.49,6.22,-1.52
2014,ESP,24.44,55.24,1.3,74.52,80.29,76.85,82.4,1.4,-0.22
2014,UKR,9.27,5.71,5.6,31.25,20.67,43.35,84.13,-10.08,15.9
2014,GBR,6.11,59.52,1.8,97.12,94.71,90.15,84.73,3.2,1.32
2014,USA,6.17,65.71,4.3,88.94,89.9,81.77,93.55,2.29,1.87
2014,VEN,6.8,18.1,15.4,2.88,0.48,19.7,64.97,-3.89,40.44
2015,DZA,11.21,11.9,3.5,7.62,16.67,24.63,68.93,3.7,-6.46
2015,ARG,7.58,46.19,5.0,19.52,26.67,60.1,75.75,2.73,26.58
2015,BRA,8.54,34.29,8.1,47.14,50.48,62.07,69.47,-3.55,7.57
2015,BGR,9.14,46.67,3.1,70.48,51.43,61.08,87.97,3.4,2.95
2015,CHN,4.65,26.19,2.6,41.9,40.95,4.93,51.28,7.04,-0.0
2015,COL,8.57,12.38,6.9,66.19,46.19,47.78,48.6,2.96,2.45
2015,CUB,2.4,65.71,2.6,8.1,27.62,6.4,75.56,4.44,3.44
2015,DOM,7.61,54.76,8.7,52.38,34.76,52.22,55.6,6.93,2.47
2015,ECU,3.62,40.95,5.6,11.9,15.24,39.41,55.08,0.1,-2.49
2015,FRA,10.35,51.43,2.0,82.86,87.62,89.66,88.41,1.11,1.14
2015,DEU,4.62,68.1,1.6,94.29,93.33,95.57,89.25,1.49,1.85
2015,HND,6.15,29.05,6.7,39.05,17.14,31.53,48.58,3.84,6.93
2015,ITA,11.9,58.57,1.6,73.81,63.33,81.28,75.62,0.78,0.93
2015,MAR,9.46,33.81,3.2,49.05,50.95,28.57,47.37,4.34,3.17
2015,NIC,4.7,42.86,6.5,38.57,25.71,32.51,54.69,4.79,7.59
2015,PAK,3.57,1.43,6.2,28.1,24.29,27.09,39.41,4.22,4.44
2015,PRY,4.56,48.57,6.9,45.71,30.0,44.83,56.23,2.96,1.6
2015,PER,3.27,32.38,4.5,66.67,37.14,54.68,48.05,3.25,2.69
2015,PRT,12.45,78.1,1.7,79.05,82.38,84.73,81.6,1.79,2.02
2015,ROU,6.81,54.29,2.9,70.0,61.43,63.55,71.02,3.16,3.26
2015,RUS,5.57,13.81,6.2,30.95,22.86,20.2,92.8,-1.97,7.25
2015,SEN,6.76,41.9,6.3,45.24,51.9,57.64,33.41,6.37,1.07
2015,ESP,22.06,55.71,1.3,75.71,78.1,82.76,82.72,3.84,0.55
2015,UKR,9.14,5.24,4.6,30.0,20.0,43.84,84.07,-9.77,38.88
2015,GBR,5.3,61.43,1.8,98.57,93.81,92.12,84.98,2.22,0.66
2015,USA,5.28,66.67,4.4,85.24,90.48,84.24,93.56,2.71,1.0
2015,VEN,6.08,16.19,15.6,2.38,0.48,19.7,65.08,-6.2,182.73
2016,DZA,10.2,12.38,3.5,9.52,18.1,23.65,69.08,3.2,1.55
2016,ARG,8.09,52.86,4.9,40.48,42.38,63.55,75.44,-2.08,41.12
2016,BRA,11.58,31.9,8.1,46.67,46.67,62.07,69.1,-3.28,8.1
2016,BGR,7.57,49.05,3.1,74.29,49.52,59.11,88.27,3.03,3.32
2016,CHN,4.56,26.67,2.6,40.95,41.43,7.39,51.75,6.85,1.41
2016,COL,8.92,16.19,6.8,65.71,45.24,49.75,48.65,2.09,5.15
2016,CUB,2.0,69.05,2.7,6.67,34.76,6.9,75.05,0.51,4.33
2016,DOM,7.28,54.76,8.6,52.86,37.14,52.71,56.93,6.66,1.99
2016,ECU,4.6,44.29,5.4,16.19,29.52,38.42,51.37,-1.23,1.9
2016,FRA,10.06,42.86,2.0,82.38,87.62,85.22,88.19,1.1,0.52
2016,DEU,4.12,68.57,1.6,96.67,91.9,95.07,89.58,2.23,1.33
2016,HND,6.73,30.48,6.6,31.43,11.43,32.51,51.75,3.89,3.68
2016,ITA,11.69,58.57,1.5,73.81,62.86,81.77,76.07,1.29,1.13
2016,MAR,9.3,34.29,3.2,47.62,44.29,29.56,48.24,0.52,0.97
2016,NIC,3.9,43.81,6.4,31.9,28.57,28.08,55.31,4.56,4.59
2016,PAK,2.29,1.43,6.2,27.14,20.48,27.59,55.62,6.57,0.92
