País de nacimiento;Nacionalidad;Edad;Sexo;Periodo;Total
España;Otro país de África;De 25 a 34 años;Hombre;2021;4
España;Otro país de África;De 25 a 34 años;Mujer;2022;2
España;Otro país de África;De 25 a 34 años;Mujer;2021;2
España;Otro país de África;De 35 a 44 años;Ambos Sexos;2022;4
España;Otro país de África;De 35 a 44 años;Ambos Sexos;2021;5
España;Otro país de África;De 35 a 44 años;Hombre;2022;1
España;Otro país de África;De 35 a 44 años;Hombre;2021;3
España;Otro país de África;De 35 a 44 años;Mujer;2022;3
España;Otro país de África;De 35 a 44 años;Mujer;2021;2
España;Otro país de África;De 45 a 54 años;Ambos Sexos;2022;1
España;Otro país de África;De 45 a 54 años;Ambos Sexos;2021;4
España;Otro país de África;De 45 a 54 años;Hombre;2022;1
España;Otro país de África;De 45 a 54 años;Hombre;2021;3
España;Otro país de África;De 45 a 54 años;Mujer;2022;0
España;Otro país de África;De 45 a 54 años;Mujer;2021;1
España;Otro país de África;De 55 a 64 años;Ambos Sexos;2022;0
España;Otro país de África;De 55 a 64 años;Ambos Sexos;2021;0
España;Otro país de África;De 55 a 64 años;Hombre;2022;0
España;Otro país de África;De 55 a 64 años;Hombre;2021;0
España;Otro país de África;De 55 a 64 años;Mujer;2022;0
España;Otro país de África;De 55 a 64 años;Mujer;2021;0
España;Otro país de África;De 65 y más años;Ambos Sexos;2022;0
España;Otro país de África;De 65 y más años;Ambos Sexos;2021;1
España;Otro país de África;De 65 y más años;Hombre;2022;0
España;Otro país de África;De 65 y más años;Hombre;2021;0
España;Otro país de África;De 65 y más años;Mujer;2022;0
España;Otro país de África;De 65 y más años;Mujer;2021;1
España;América del Norte;Total;Ambos Sexos;2022;139
España;América del Norte;Total;Ambos Sexos;2021;124
España;América del Norte;Total;Hombre;2022;65
España;América del Norte;Total;Hombre;2021;59
España;América del Norte;Total;Mujer;2022;74
España;América del Norte;Total;Mujer;2021;65
España;América del Norte;De 0 a 15 años;Ambos Sexos;2022;42
España;América del Norte;De 0 a 15 años;Ambos Sexos;2021;39
España;América del Norte;De 0 a 15 años;Hombre;2022;21
España;América del Norte;De 0 a 15 años;Hombre;2021;18
España;América del Norte;De 0 a 15 años;Mujer;2022;21
España;América del Norte;De 0 a 15 años;Mujer;2021;21
España;América del Norte;De 16 a 24 años;Ambos Sexos;2022;14
España;América del Norte;De 16 a 24 años;Ambos Sexos;2021;21
España;América del Norte;De 16 a 24 años;Hombre;2022;6
España;América del Norte;De 16 a 24 años;Hombre;2021;12
España;América del Norte;De 16 a 24 años;Mujer;2022;8
España;América del Norte;De 16 a 24 años;Mujer;2021;9
España;América del Norte;De 25 a 34 años;Ambos Sexos;2022;13
España;América del Norte;De 25 a 34 años;Ambos Sexos;2021;11
España;América del Norte;De 25 a 34 años;Hombre;2022;6
España;América del Norte;De 25 a 34 años;Hombre;2021;3
España;América del Norte;De 25 a 34 años;Mujer;2022;7
España;América del Norte;De 25 a 34 años;Mujer;2021;8
España;América del Norte;De 35 a 44 años;Ambos Sexos;2022;7
España;América del Norte;De 35 a 44 años;Ambos Sexos;2021;13
España;América del Norte;De 35 a 44 años;Hombre;2022;3
España;América del Norte;De 35 a 44 años;Hombre;2021;6
España;América del Norte;De 35 a 44 años;Mujer;2022;4
España;América del Norte;De 35 a 44 años;Mujer;2021;7
España;América del Norte;De 45 a 54 años;Ambos Sexos;2022;15
España;América del Norte;De 45 a 54 años;Ambos Sexos;2021;14
España;América del Norte;De 45 a 54 años;Hombre;2022;3
España;América del Norte;De 45 a 54 años;Hombre;2021;10
España;América del Norte;De 45 a 54 años;Mujer;2022;12
España;América del Norte;De 45 a 54 años;Mujer;2021;4
España;América del Norte;De 55 a 64 años;Ambos Sexos;2022;19
España;América del Norte;De 55 a 64 años;Ambos Sexos;2021;9
España;América del Norte;De 55 a 64 años;Hombre;2022;12
España;América del Norte;De 55 a 64 años;Hombre;2021;2
España;América del Norte;De 55 a 64 años;Mujer;2022;7
España;América del Norte;De 55 a 64 años;Mujer;2021;7
España;América del Norte;De 65 y más años;Ambos Sexos;2022;29
España;América del Norte;De 65 y más años;Ambos Sexos;2021;17
España;América del Norte;De 65 y más años;Hombre;2022;14
España;América del Norte;De 65 y más años;Hombre;2021;8
España;América del Norte;De 65 y más años;Mujer;2022;15
España;América del Norte;De 65 y más años;Mujer;2021;9
España;Estados Unidos de América;Total;Ambos Sexos;2022;95
España;Estados Unidos de América;Total;Ambos Sexos;2021;90
España;Estados Unidos de América;Total;Hombre;2022;40
España;Estados Unidos de América;Total;Hombre;2021;40
España;Estados Unidos de América;Total;Mujer;2022;55
España;Estados Unidos de América;Total;Mujer;2021;50
España;Estados Unidos de América;De 0 a 15 años;Ambos Sexos;2022;27
España;Estados Unidos de América;De 0 a 15 años;Ambos Sexos;2021;24
España;Estados Unidos de América;De 0 a 15 años;Hombre;2022;11
España;Estados Unidos de América;De 0 a 15 años;Hombre;2021;11
España;Estados Unidos de América;De 0 a 15 años;Mujer;2022;16
España;Estados Unidos de América;De 0 a 15 años;Mujer;2021;13
España;Estados Unidos de América;De 16 a 24 años;Ambos Sexos;2022;6
España;Estados Unidos de América;De 16 a 24 años;Ambos Sexos;2021;15
España;Estados Unidos de América;De 16 a 24 años;Hombre;2022;1
España;Estados Unidos de América;De 16 a 24 años;Hombre;2021;6
España;Estados Unidos de América;De 16 a 24 años;Mujer;2022;5
España;Estados Unidos de América;De 16 a 24 años;Mujer;2021;9
España;Estados Unidos de América;De 25 a 34 años;Ambos Sexos;2022;7
España;Estados Unidos de América;De 25 a 34 años;Ambos Sexos;2021;8
España;Estados Unidos de América;De 25 a 34 años;Hombre;2022;4
España;Estados Unidos de América;De 25 a 34 años;Hombre;2021;2
España;Estados Unidos de América;De 25 a 34 años;Mujer;2022;3
España;Estados Unidos de América;De 25 a 34 años;Mujer;2021;6
España;Estados Unidos de América;De 35 a 44 años;Ambos Sexos;2022;6
España;Estados Unidos de América;De 35 a 44 años;Ambos Sexos;2021;11
España;Estados Unidos de América;De 35 a 44 años;Hombre;2022;3
España;Estados Unidos de América;De 35 a 44 años;Hombre;2021;5
España;Estados Unidos de América;De 35 a 44 años;Mujer;2022;3
España;Estados Unidos de América;De 35 a 44 años;Mujer;2021;6
España;Estados Unidos de América;De 45 a 54 años;Ambos Sexos;2022;13
España;Estados Unidos de América;De 45 a 54 años;Ambos Sexos;2021;11
España;Estados Unidos de América;De 45 a 54 años;Hombre;2022;3
España;Estados Unidos de América;De 45 a 54 años;Hombre;2021;8
España;Estados Unidos de América;De 45 a 54 años;Mujer;2022;10
España;Estados Unidos de América;De 45 a 54 años;Mujer;2021;3
España;Estados Unidos de América;De 55 a 64 años;Ambos Sexos;2022;16
España;Estados Unidos de América;De 55 a 64 años;Ambos Sexos;2021;9
España;Estados Unidos de América;De 55 a 64 años;Hombre;2022;11
España;Estados Unidos de América;De 55 a 64 años;Hombre;2021;2
España;Estados Unidos de América;De 55 a 64 años;Mujer;2022;5
España;Estados Unidos de América;De 55 a 64 años;Mujer;2021;7
España;Estados Unidos de América;De 65 y más años;Ambos Sexos;2022;20
España;Estados Unidos de América;De 65 y más años;Ambos Sexos;2021;12
España;Estados Unidos de América;De 65 y más años;Hombre;2022;7
España;Estados Unidos de América;De 65 y más años;Hombre;2021;6
España;Estados Unidos de América;De 65 y más años;Mujer;2022;13
España;Estados Unidos de América;De 65 y más años;Mujer;2021;6
España;México;Total;Ambos Sexos;2022;28
España;México;Total;Ambos Sexos;2021;26
España;México;Total;Hombre;2022;14
España;México;Total;Hombre;2021;16
España;México;Total;Mujer;2022;14
España;México;Total;Mujer;2021;10
España;México;De 0 a 15 años;Ambos Sexos;2022;9
España;México;De 0 a 15 años;Ambos Sexos;2021;14
España;México;De 0 a 15 años;Hombre;2022;5
España;México;De 0 a 15 años;Hombre;2021;7
España;México;De 0 a 15 años;Mujer;2022;4
España;México;De 0 a 15 años;Mujer;2021;7
España;México;De 16 a 24 años;Ambos Sexos;2022;6
España;México;De 16 a 24 años;Ambos Sexos;2021;5
España;México;De 16 a 24 años;Hombre;2022;4
España;México;De 16 a 24 años;Hombre;2021;5
España;México;De 16 a 24 años;Mujer;2022;2
España;México;De 16 a 24 años;Mujer;2021;0
España;México;De 25 a 34 años;Ambos Sexos;2022;4
España;México;De 25 a 34 años;Ambos Sexos;2021;3
España;México;De 25 a 34 años;Hombre;2022;1
España;México;De 25 a 34 años;Hombre;2021;1
España;México;De 25 a 34 años;Mujer;2022;3
España;México;De 25 a 34 años;Mujer;2021;2
España;México;De 35 a 44 años;Ambos Sexos;2022;1
España;México;De 35 a 44 años;Ambos Sexos;2021;1
España;México;De 35 a 44 años;Hombre;2022;0
España;México;De 35 a 44 años;Hombre;2021;1
España;México;De 35 a 44 años;Mujer;2022;1
España;México;De 35 a 44 años;Mujer;2021;0
España;México;De 45 a 54 años;Ambos Sexos;2022;1
España;México;De 45 a 54 años;Ambos Sexos;2021;1
España;México;De 45 a 54 años;Hombre;2022;0
España;México;De 45 a 54 años;Hombre;2021;1
España;México;De 45 a 54 años;Mujer;2022;1
España;México;De 45 a 54 años;Mujer;2021;0
España;México;De 55 a 64 años;Ambos Sexos;2022;2
España;México;De 55 a 64 años;Ambos Sexos;2021;0
España;México;De 55 a 64 años;Hombre;2022;0
España;México;De 55 a 64 años;Hombre;2021;0
España;México;De 55 a 64 años;Mujer;2022;2
España;México;De 55 a 64 años;Mujer;2021;0
España;México;De 65 y más años;Ambos Sexos;2022;5
España;México;De 65 y más años;Ambos Sexos;2021;2
España;México;De 65 y más años;Hombre;2022;4
España;México;De 65 y más años;Hombre;2021;1
España;México;De 65 y más años;Mujer;2022;1
España;México;De 65 y más años;Mujer;2021;1
España;Canadá;Total;Ambos Sexos;2022;16
España;Canadá;Total;Ambos Sexos;2021;8
España;Canadá;Total;Hombre;2022;11
España;Canadá;Total;Hombre;2021;3
España;Canadá;Total;Mujer;2022;5
España;Canadá;Total;Mujer;2021;5
España;Canadá;De 0 a 15 años;Ambos Sexos;2022;6
España;Canadá;De 0 a 15 años;Ambos Sexos;2021;1
España;Canadá;De 0 a 15 años;Hombre;2022;5
España;Canadá;De 0 a 15 años;Hombre;2021;0
España;Canadá;De 0 a 15 años;Mujer;2022;1
España;Canadá;De 0 a 15 años;Mujer;2021;1
España;Canadá;De 16 a 24 años;Ambos Sexos;2022;2
España;Canadá;De 16 a 24 años;Ambos Sexos;2021;1
España;Canadá;De 16 a 24 años;Hombre;2022;1
España;Canadá;De 16 a 24 años;Hombre;2021;1
España;Canadá;De 16 a 24 años;Mujer;2022;1
España;Canadá;De 16 a 24 años;Mujer;2021;0
España;Canadá;De 25 a 34 años;Ambos Sexos;2022;2
España;Canadá;De 25 a 34 años;Ambos Sexos;2021;0
España;Canadá;De 25 a 34 años;Hombre;2022;1
España;Canadá;De 25 a 34 años;Hombre;2021;0
España;Canadá;De 25 a 34 años;Mujer;2022;1
España;Canadá;De 25 a 34 años;Mujer;2021;0
España;Canadá;De 35 a 44 años;Ambos Sexos;2022;0
España;Canadá;De 35 a 44 años;Ambos Sexos;2021;1
España;Canadá;De 35 a 44 años;Hombre;2022;0
España;Canadá;De 35 a 44 años;Hombre;2021;0
España;Canadá;De 35 a 44 años;Mujer;2022;0
España;Canadá;De 35 a 44 años;Mujer;2021;1
España;Canadá;De 45 a 54 años;Ambos Sexos;2022;1
España;Canadá;De 45 a 54 años;Ambos Sexos;2021;2
España;Canadá;De 45 a 54 años;Hombre;2022;0
España;Canadá;De 45 a 54 años;Hombre;2021;1
España;Canadá;De 45 a 54 años;Mujer;2022;1
España;Canadá;De 45 a 54 años;Mujer;2021;1
España;Canadá;De 55 a 64 años;Ambos Sexos;2022;1
España;Canadá;De 55 a 64 años;Ambos Sexos;2021;0
España;Canadá;De 55 a 64 años;Hombre;2022;1
España;Canadá;De 55 a 64 años;Hombre;2021;0
España;Canadá;De 55 a 64 años;Mujer;2022;0
España;Canadá;De 55 a 64 años;Mujer;2021;0
España;Canadá;De 65 y más años;Ambos Sexos;2022;4
España;Canadá;De 65 y más años;Ambos Sexos;2021;3
España;Canadá;De 65 y más años;Hombre;2022;3
España;Canadá;De 65 y más años;Hombre;2021;1
España;Canadá;De 65 y más años;Mujer;2022;1
España;Canadá;De 65 y más años;Mujer;2021;2
España;De Centro América y Caribe;Total;Ambos Sexos;2022;519
España;De Centro América y Caribe;Total;Ambos Sexos;2021;499
España;De Centro América y Caribe;Total;Hombre;2022;254
España;De Centro América y Caribe;Total;Hombre;2021;249
España;De Centro América y Caribe;Total;Mujer;2022;265
España;De Centro América y Caribe;Total;Mujer;2021;250
España;De Centro América y Caribe;De 0 a 15 años;Ambos Sexos;2022;447
España;De Centro América y Caribe;De 0 a 15 años;Ambos Sexos;2021;425
España;De Centro América y Caribe;De 0 a 15 años;Hombre;2022;210
España;De Centro América y Caribe;De 0 a 15 años;Hombre;2021;213
España;De Centro América y Caribe;De 0 a 15 años;Mujer;2022;237
España;De Centro América y Caribe;De 0 a 15 años;Mujer;2021;212
España;De Centro América y Caribe;De 16 a 24 años;Ambos Sexos;2022;48
España;De Centro América y Caribe;De 16 a 24 años;Ambos Sexos;2021;48
España;De Centro América y Caribe;De 16 a 24 años;Hombre;2022;31
España;De Centro América y Caribe;De 16 a 24 años;Hombre;2021;24
España;De Centro América y Caribe;De 16 a 24 años;Mujer;2022;17
España;De Centro América y Caribe;De 16 a 24 años;Mujer;2021;24
España;De Centro América y Caribe;De 25 a 34 años;Ambos Sexos;2022;10
España;De Centro América y Caribe;De 25 a 34 años;Ambos Sexos;2021;15
España;De Centro América y Caribe;De 25 a 34 años;Hombre;2022;7
España;De Centro América y Caribe;De 25 a 34 años;Hombre;2021;8
España;De Centro América y Caribe;De 25 a 34 años;Mujer;2022;3
España;De Centro América y Caribe;De 25 a 34 años;Mujer;2021;7
España;De Centro América y Caribe;De 35 a 44 años;Ambos Sexos;2022;9
España;De Centro América y Caribe;De 35 a 44 años;Ambos Sexos;2021;6
España;De Centro América y Caribe;De 35 a 44 años;Hombre;2022;4
España;De Centro América y Caribe;De 35 a 44 años;Hombre;2021;3
España;De Centro América y Caribe;De 35 a 44 años;Mujer;2022;5
España;De Centro América y Caribe;De 35 a 44 años;Mujer;2021;3
España;De Centro América y Caribe;De 45 a 54 años;Ambos Sexos;2022;3
España;De Centro América y Caribe;De 45 a 54 años;Ambos Sexos;2021;3
España;De Centro América y Caribe;De 45 a 54 años;Hombre;2022;0
España;De Centro América y Caribe;De 45 a 54 años;Hombre;2021;0
España;De Centro América y Caribe;De 45 a 54 años;Mujer;2022;3
España;De Centro América y Caribe;De 45 a 54 años;Mujer;2021;3
España;De Centro América y Caribe;De 55 a 64 años;Ambos Sexos;2022;1
España;De Centro América y Caribe;De 55 a 64 años;Ambos Sexos;2021;1
España;De Centro América y Caribe;De 55 a 64 años;Hombre;2022;1
España;De Centro América y Caribe;De 55 a 64 años;Hombre;2021;1
España;De Centro América y Caribe;De 55 a 64 años;Mujer;2022;0
España;De Centro América y Caribe;De 55 a 64 años;Mujer;2021;0
España;De Centro América y Caribe;De 65 y más años;Ambos Sexos;2022;1
España;De Centro América y Caribe;De 65 y más años;Ambos Sexos;2021;1
España;De Centro América y Caribe;De 65 y más años;Hombre;2022;1
España;De Centro América y Caribe;De 65 y más años;Hombre;2021;0
España;De Centro América y Caribe;De 65 y más años;Mujer;2022;0
España;De Centro América y Caribe;De 65 y más años;Mujer;2021;1
España;Cuba;Total;Ambos Sexos;2022;15
España;Cuba;Total;Ambos Sexos;2021;20
España;Cuba;Total;Hombre;2022;4
España;Cuba;Total;Hombre;2021;12
España;Cuba;Total;Mujer;2022;11
España;Cuba;Total;Mujer;2021;8
España;Cuba;De 0 a 15 años;Ambos Sexos;2022;11
España;Cuba;De 0 a 15 años;Ambos Sexos;2021;15
España;Cuba;De 0 a 15 años;Hombre;2022;3
España;Cuba;De 0 a 15 años;Hombre;2021;9
España;Cuba;De 0 a 15 años;Mujer;2022;8
España;Cuba;De 0 a 15 años;Mujer;2021;6
España;Cuba;De 16 a 24 años;Ambos Sexos;2022;0
España;Cuba;De 16 a 24 años;Ambos Sexos;2021;1
España;Cuba;De 16 a 24 años;Hombre;2022;0
España;Cuba;De 16 a 24 años;Hombre;2021;1
España;Cuba;De 16 a 24 años;Mujer;2022;0
España;Cuba;De 16 a 24 años;Mujer;2021;0
España;Cuba;De 25 a 34 años;Ambos Sexos;2022;2
España;Cuba;De 25 a 34 años;Ambos Sexos;2021;2
España;Cuba;De 25 a 34 años;Hombre;2022;1
España;Cuba;De 25 a 34 años;Hombre;2021;2
España;Cuba;De 25 a 34 años;Mujer;2022;1
España;Cuba;De 25 a 34 años;Mujer;2021;0
España;Cuba;De 35 a 44 años;Ambos Sexos;2022;0
España;Cuba;De 35 a 44 años;Ambos Sexos;2021;1
España;Cuba;De 35 a 44 años;Hombre;2022;0
España;Cuba;De 35 a 44 años;Hombre;2021;0
España;Cuba;De 35 a 44 años;Mujer;2022;0
España;Cuba;De 35 a 44 años;Mujer;2021;1
España;Cuba;De 45 a 54 años;Ambos Sexos;2022;2
España;Cuba;De 45 a 54 años;Ambos Sexos;2021;0
España;Cuba;De 45 a 54 años;Hombre;2022;0
España;Cuba;De 45 a 54 años;Hombre;2021;0
España;Cuba;De 45 a 54 años;Mujer;2022;2
España;Cuba;De 45 a 54 años;Mujer;2021;0
España;Cuba;De 55 a 64 años;Ambos Sexos;2022;0
España;Cuba;De 55 a 64 años;Ambos Sexos;2021;0
España;Cuba;De 55 a 64 años;Hombre;2022;0
España;Cuba;De 55 a 64 años;Hombre;2021;0
España;Cuba;De 55 a 64 años;Mujer;2022;0
España;Cuba;De 55 a 64 años;Mujer;2021;0
España;Cuba;De 65 y más años;Ambos Sexos;2022;0
España;Cuba;De 65 y más años;Ambos Sexos;2021;1
España;Cuba;De 65 y más años;Hombre;2022;0
España;Cuba;De 65 y más años;Hombre;2021;0
España;Cuba;De 65 y más años;Mujer;2022;0
España;Cuba;De 65 y más años;Mujer;2021;1
España;Honduras;Total;Ambos Sexos;2022;178
España;Honduras;Total;Ambos Sexos;2021;143
España;Honduras;Total;Hombre;2022;85
España;Honduras;Total;Hombre;2021;76
España;Honduras;Total;Mujer;2022;93
España;Honduras;Total;Mujer;2021;67
España;Honduras;De 0 a 15 años;Ambos Sexos;2022;168
España;Honduras;De 0 a 15 años;Ambos Sexos;2021;131
España;Honduras;De 0 a 15 años;Hombre;2022;80
España;Honduras;De 0 a 15 años;Hombre;2021;70
España;Honduras;De 0 a 15 años;Mujer;2022;88
España;Honduras;De 0 a 15 años;Mujer;2021;61
España;Honduras;De 16 a 24 años;Ambos Sexos;2022;7
España;Honduras;De 16 a 24 años;Ambos Sexos;2021;5
España;Honduras;De 16 a 24 años;Hombre;2022;4
España;Honduras;De 16 a 24 años;Hombre;2021;2
España;Honduras;De 16 a 24 años;Mujer;2022;3
España;Honduras;De 16 a 24 años;Mujer;2021;3
España;Honduras;De 25 a 34 años;Ambos Sexos;2022;0
España;Honduras;De 25 a 34 años;Ambos Sexos;2021;5
España;Honduras;De 25 a 34 años;Hombre;2022;0
España;Honduras;De 25 a 34 años;Hombre;2021;3
España;Honduras;De 25 a 34 años;Mujer;2022;0
España;Honduras;De 25 a 34 años;Mujer;2021;2
España;Honduras;De 35 a 44 años;Ambos Sexos;2022;2
España;Honduras;De 35 a 44 años;Ambos Sexos;2021;1
España;Honduras;De 35 a 44 años;Hombre;2022;1
España;Honduras;De 35 a 44 años;Hombre;2021;1
España;Honduras;De 35 a 44 años;Mujer;2022;1
España;Honduras;De 35 a 44 años;Mujer;2021;0
España;Honduras;De 45 a 54 años;Ambos Sexos;2022;1
España;Honduras;De 45 a 54 años;Ambos Sexos;2021;1
España;Honduras;De 45 a 54 años;Hombre;2022;0
España;Honduras;De 45 a 54 años;Hombre;2021;0
España;Honduras;De 45 a 54 años;Mujer;2022;1
España;Honduras;De 45 a 54 años;Mujer;2021;1
España;Honduras;De 55 a 64 años;Ambos Sexos;2022;0
España;Honduras;De 55 a 64 años;Ambos Sexos;2021;0
España;Honduras;De 55 a 64 años;Hombre;2022;0
España;Honduras;De 55 a 64 años;Hombre;2021;0
España;Honduras;De 55 a 64 años;Mujer;2022;0
España;Honduras;De 55 a 64 años;Mujer;2021;0
España;Honduras;De 65 y más años;Ambos Sexos;2022;0
España;Honduras;De 65 y más años;Ambos Sexos;2021;0
España;Honduras;De 65 y más años;Hombre;2022;0
España;Honduras;De 65 y más años;Hombre;2021;0
España;Honduras;De 65 y más años;Mujer;2022;0
España;Honduras;De 65 y más años;Mujer;2021;0
España;Nicaragua;Total;Ambos Sexos;2022;98
España;Nicaragua;Total;Ambos Sexos;2021;76
España;Nicaragua;Total;Hombre;2022;49
España;Nicaragua;Total;Hombre;2021;34
España;Nicaragua;Total;Mujer;2022;49
España;Nicaragua;Total;Mujer;2021;42
España;Nicaragua;De 0 a 15 años;Ambos Sexos;2022;89
España;Nicaragua;De 0 a 15 años;Ambos Sexos;2021;70
España;Nicaragua;De 0 a 15 años;Hombre;2022;43
España;Nicaragua;De 0 a 15 años;Hombre;2021;31
España;Nicaragua;De 0 a 15 años;Mujer;2022;46
España;Nicaragua;De 0 a 15 años;Mujer;2021;39
España;Nicaragua;De 16 a 24 años;Ambos Sexos;2022;2
España;Nicaragua;De 16 a 24 años;Ambos Sexos;2021;4
España;Nicaragua;De 16 a 24 años;Hombre;2022;1
España;Nicaragua;De 16 a 24 años;Hombre;2021;3
España;Nicaragua;De 16 a 24 años;Mujer;2022;1
España;Nicaragua;De 16 a 24 años;Mujer;2021;1
España;Nicaragua;De 25 a 34 años;Ambos Sexos;2022;3
España;Nicaragua;De 25 a 34 años;Ambos Sexos;2021;0
España;Nicaragua;De 25 a 34 años;Hombre;2022;3
España;Nicaragua;De 25 a 34 años;Hombre;2021;0
España;Nicaragua;De 25 a 34 años;Mujer;2022;0
España;Nicaragua;De 25 a 34 años;Mujer;2021;0
España;Nicaragua;De 35 a 44 años;Ambos Sexos;2022;4
España;Nicaragua;De 35 a 44 años;Ambos Sexos;2021;2
España;Nicaragua;De 35 a 44 años;Hombre;2022;2
España;Nicaragua;De 35 a 44 años;Hombre;2021;0
España;Nicaragua;De 35 a 44 años;Mujer;2022;2
España;Nicaragua;De 35 a 44 años;Mujer;2021;2
España;Nicaragua;De 45 a 54 años;Ambos Sexos;2022;0
España;Nicaragua;De 45 a 54 años;Ambos Sexos;2021;0
España;Nicaragua;De 45 a 54 años;Hombre;2022;0
España;Nicaragua;De 45 a 54 años;Hombre;2021;0
España;Nicaragua;De 45 a 54 años;Mujer;2022;0
España;Nicaragua;De 45 a 54 años;Mujer;2021;0
España;Nicaragua;De 55 a 64 años;Ambos Sexos;2022;0
España;Nicaragua;De 55 a 64 años;Ambos Sexos;2021;0
España;Nicaragua;De 55 a 64 años;Hombre;2022;0
España;Nicaragua;De 55 a 64 años;Hombre;2021;0
España;Nicaragua;De 55 a 64 años;Mujer;2022;0
España;Nicaragua;De 55 a 64 años;Mujer;2021;0
España;Nicaragua;De 65 y más años;Ambos Sexos;2022;0
España;Nicaragua;De 65 y más años;Ambos Sexos;2021;0
España;Nicaragua;De 65 y más años;Hombre;2022;0
España;Nicaragua;De 65 y más años;Hombre;2021;0
España;Nicaragua;De 65 y más años;Mujer;2022;0
España;Nicaragua;De 65 y más años;Mujer;2021;0
España;República Dominicana;Total;Ambos Sexos;2022;189
España;República Dominicana;Total;Ambos Sexos;2021;201
España;República Dominicana;Total;Hombre;2022;97
España;República Dominicana;Total;Hombre;2021;94
España;República Dominicana;Total;Mujer;2022;92
España;República Dominicana;Total;Mujer;2021;107
España;República Dominicana;De 0 a 15 años;Ambos Sexos;2022;147
España;República Dominicana;De 0 a 15 años;Ambos Sexos;2021;161
España;República Dominicana;De 0 a 15 años;Hombre;2022;71
España;República Dominicana;De 0 a 15 años;Hombre;2021;77
España;República Dominicana;De 0 a 15 años;Mujer;2022;76
España;República Dominicana;De 0 a 15 años;Mujer;2021;84
España;República Dominicana;De 16 a 24 años;Ambos Sexos;2022;36
España;República Dominicana;De 16 a 24 años;Ambos Sexos;2021;32
España;República Dominicana;De 16 a 24 años;Hombre;2022;23
España;República Dominicana;De 16 a 24 años;Hombre;2021;14
España;República Dominicana;De 16 a 24 años;Mujer;2022;13
España;República Dominicana;De 16 a 24 años;Mujer;2021;18
España;República Dominicana;De 25 a 34 años;Ambos Sexos;2022;4
España;República Dominicana;De 25 a 34 años;Ambos Sexos;2021;6
España;República Dominicana;De 25 a 34 años;Hombre;2022;2
España;República Dominicana;De 25 a 34 años;Hombre;2021;2
España;República Dominicana;De 25 a 34 años;Mujer;2022;2
España;República Dominicana;De 25 a 34 años;Mujer;2021;4
España;República Dominicana;De 35 a 44 años;Ambos Sexos;2022;2
España;República Dominicana;De 35 a 44 años;Ambos Sexos;2021;1
España;República Dominicana;De 35 a 44 años;Hombre;2022;1
España;República Dominicana;De 35 a 44 años;Hombre;2021;1
España;República Dominicana;De 35 a 44 años;Mujer;2022;1
España;República Dominicana;De 35 a 44 años;Mujer;2021;0
España;República Dominicana;De 45 a 54 años;Ambos Sexos;2022;0
España;República Dominicana;De 45 a 54 años;Ambos Sexos;2021;1
España;República Dominicana;De 45 a 54 años;Hombre;2022;0
España;República Dominicana;De 45 a 54 años;Hombre;2021;0
España;República Dominicana;De 45 a 54 años;Mujer;2022;0
España;República Dominicana;De 45 a 54 años;Mujer;2021;1
España;República Dominicana;De 55 a 64 años;Ambos Sexos;2022;0
España;República Dominicana;De 55 a 64 años;Ambos Sexos;2021;0
España;República Dominicana;De 55 a 64 años;Hombre;2022;0
España;República Dominicana;De 55 a 64 años;Hombre;2021;0
España;República Dominicana;De 55 a 64 años;Mujer;2022;0
España;República Dominicana;De 55 a 64 años;Mujer;2021;0
España;República Dominicana;De 65 y más años;Ambos Sexos;2022;0
España;República Dominicana;De 65 y más años;Ambos Sexos;2021;0
España;República Dominicana;De 65 y más años;Hombre;2022;0
España;República Dominicana;De 65 y más años;Hombre;2021;0
España;República Dominicana;De 65 y más años;Mujer;2022;0
España;República Dominicana;De 65 y más años;Mujer;2021;0
España;Otro país de Centro América y Caribe;Total;Ambos Sexos;2022;39
España;Otro país de Centro América y Caribe;Total;Ambos Sexos;2021;59
España;Otro país de Centro América y Caribe;Total;Hombre;2022;19
España;Otro país de Centro América y Caribe;Total;Hombre;2021;33
España;Otro país de Centro América y Caribe;Total;Mujer;2022;20
España;Otro país de Centro América y Caribe;Total;Mujer;2021;26
España;Otro país de Centro América y Caribe;De 0 a 15 años;Ambos Sexos;2022;32
España;Otro país de Centro América y Caribe;De 0 a 15 años;Ambos Sexos;2021;48
España;Otro país de Centro América y Caribe;De 0 a 15 años;Hombre;2022;13
España;Otro país de Centro América y Caribe;De 0 a 15 años;Hombre;2021;26
España;Otro país de Centro América y Caribe;De 0 a 15 años;Mujer;2022;19
España;Otro país de Centro América y Caribe;De 0 a 15 años;Mujer;2021;22
España;Otro país de Centro América y Caribe;De 16 a 24 años;Ambos Sexos;2022;3
España;Otro país de Centro América y Caribe;De 16 a 24 años;Ambos Sexos;2021;6
España;Otro país de Centro América y Caribe;De 16 a 24 años;Hombre;2022;3
España;Otro país de Centro América y Caribe;De 16 a 24 años;Hombre;2021;4
España;Otro país de Centro América y Caribe;De 16 a 24 años;Mujer;2022;0
España;Otro país de Centro América y Caribe;De 16 a 24 años;Mujer;2021;2
España;Otro país de Centro América y Caribe;De 25 a 34 años;Ambos Sexos;2022;1
España;Otro país de Centro América y Caribe;De 25 a 34 años;Ambos Sexos;2021;2
España;Otro país de Centro América y Caribe;De 25 a 34 años;Hombre;2022;1
