País de nacimiento;Nacionalidad;Edad;Sexo;Periodo;Total
Total;Bélgica;De 65 y más años;Ambos Sexos;2022;1.230
Total;Bélgica;De 65 y más años;Ambos Sexos;2021;1.778
Total;Bélgica;De 65 y más años;Hombre;2022;691
Total;Bélgica;De 65 y más años;Hombre;2021;969
Total;Bélgica;De 65 y más años;Mujer;2022;539
Total;Bélgica;De 65 y más años;Mujer;2021;809
Total;Bulgaria;Total;Ambos Sexos;2022;8.610
Total;Bulgaria;Total;Ambos Sexos;2021;8.738
Total;Bulgaria;Total;Hombre;2022;4.330
Total;Bulgaria;Total;Hombre;2021;4.607
Total;Bulgaria;Total;Mujer;2022;4.280
Total;Bulgaria;Total;Mujer;2021;4.131
Total;Bulgaria;De 0 a 15 años;Ambos Sexos;2022;869
Total;Bulgaria;De 0 a 15 años;Ambos Sexos;2021;904
Total;Bulgaria;De 0 a 15 años;Hombre;2022;462
Total;Bulgaria;De 0 a 15 años;Hombre;2021;451
Total;Bulgaria;De 0 a 15 años;Mujer;2022;407
Total;Bulgaria;De 0 a 15 años;Mujer;2021;453
Total;Bulgaria;De 16 a 24 años;Ambos Sexos;2022;1.076
Total;Bulgaria;De 16 a 24 años;Ambos Sexos;2021;1.291
Total;Bulgaria;De 16 a 24 años;Hombre;2022;537
Total;Bulgaria;De 16 a 24 años;Hombre;2021;710
Total;Bulgaria;De 16 a 24 años;Mujer;2022;539
Total;Bulgaria;De 16 a 24 años;Mujer;2021;581
Total;Bulgaria;De 25 a 34 años;Ambos Sexos;2022;1.518
Total;Bulgaria;De 25 a 34 años;Ambos Sexos;2021;1.530
Total;Bulgaria;De 25 a 34 años;Hombre;2022;804
Total;Bulgaria;De 25 a 34 años;Hombre;2021;830
Total;Bulgaria;De 25 a 34 años;Mujer;2022;714
Total;Bulgaria;De 25 a 34 años;Mujer;2021;700
Total;Bulgaria;De 35 a 44 años;Ambos Sexos;2022;1.730
Total;Bulgaria;De 35 a 44 años;Ambos Sexos;2021;1.794
Total;Bulgaria;De 35 a 44 años;Hombre;2022;895
Total;Bulgaria;De 35 a 44 años;Hombre;2021;985
Total;Bulgaria;De 35 a 44 años;Mujer;2022;835
Total;Bulgaria;De 35 a 44 años;Mujer;2021;809
Total;Bulgaria;De 45 a 54 años;Ambos Sexos;2022;1.790
Total;Bulgaria;De 45 a 54 años;Ambos Sexos;2021;1.683
Total;Bulgaria;De 45 a 54 años;Hombre;2022;933
Total;Bulgaria;De 45 a 54 años;Hombre;2021;930
Total;Bulgaria;De 45 a 54 años;Mujer;2022;857
Total;Bulgaria;De 45 a 54 años;Mujer;2021;753
Total;Bulgaria;De 55 a 64 años;Ambos Sexos;2022;1.008
Total;Bulgaria;De 55 a 64 años;Ambos Sexos;2021;1.008
Total;Bulgaria;De 55 a 64 años;Hombre;2022;488
Total;Bulgaria;De 55 a 64 años;Hombre;2021;526
Total;Bulgaria;De 55 a 64 años;Mujer;2022;520
Total;Bulgaria;De 55 a 64 años;Mujer;2021;482
Total;Bulgaria;De 65 y más años;Ambos Sexos;2022;619
Total;Bulgaria;De 65 y más años;Ambos Sexos;2021;528
Total;Bulgaria;De 65 y más años;Hombre;2022;211
Total;Bulgaria;De 65 y más años;Hombre;2021;175
Total;Bulgaria;De 65 y más años;Mujer;2022;408
Total;Bulgaria;De 65 y más años;Mujer;2021;353
Total;Dinamarca;Total;Ambos Sexos;2022;1.278
Total;Dinamarca;Total;Ambos Sexos;2021;1.491
Total;Dinamarca;Total;Hombre;2022;689
Total;Dinamarca;Total;Hombre;2021;859
Total;Dinamarca;Total;Mujer;2022;589
Total;Dinamarca;Total;Mujer;2021;632
Total;Dinamarca;De 0 a 15 años;Ambos Sexos;2022;155
Total;Dinamarca;De 0 a 15 años;Ambos Sexos;2021;143
Total;Dinamarca;De 0 a 15 años;Hombre;2022;73
Total;Dinamarca;De 0 a 15 años;Hombre;2021;80
Total;Dinamarca;De 0 a 15 años;Mujer;2022;82
